label,summarydescription
0,Performance improvement: Lazy skipping on proximity file
0,Avoid ${project.version} in dependencies
0,Add a method public boolean hasNodeType(String name) in NodeTypeManagerImpl
0,[PATCH] FSDirectory create() method deletes all files
0,allow ResourceType dav property to have multiple values
0,Implement TokenStream.end() in contrib TokenStreams
0,"Change BooleanFilter to have only a single clauses ArrayList (so toString() works fine, clauses() method could be added) so it behaves more lik BooleanQuery"
0,Make it posible not to include TF information in index
0,Factor out SearcherManager from NRTManager
0,have jackrabbit-core produce a test jar
0,New Jackrabbit site skin
0,Add test to check maven artifacts and their poms
0,"don't download/extract 20,000 files when doing the build"
0,Upgrade to SLF4J 1.3
0,Add Highlighting benchmark support to contrib/benchmark
0,Break the spi2dav dependency to jcr-server
0,System Reqs page should be release specific
0,Confusing Javadoc in Searchable.java
0,TestNLS fails with ja locale
0,Add tests.iter.min to improve controlling tests.iter's behavior
0,preflex codec doesn't order terms correctly
0,Clone support
0,JSR 283 lifecycle management
0,Improve indexing performance by increasing internal buffer sizes
0,Access to SO_TIMEOUT for open connections
0,support for DB2 in BundleDbPersistenceManager
0,Polish Analyzer
0,Analyzer for Latvian
0,Misleading exception message for jcr:deref()
0,NamespaceRegistryTest uses an invalid URI as namespace URI
0,Possible Memory Leak in StoredFieldsWriter
0,Add optional state attribute to managed client connections
0,AbstractHttpClient.addRequestInterceptor should document in what order the interceptors run
0,"ResponseContentEncoding should also handle x-gzip, compress and x-compress"
0,Per socket SOCKS proxies
0,Add ability to specify compilation/matching flags to RegexCapabiltiies implementations
0,indexwriter creates unwanted termvector info
0,Improve how ConcurrentMergeScheduler handles too-many-merges case
0,Jackrabbit depends on Oracle driver for BLOB support in Oracle versions previous than 10.2
0,Redesign SPI observation
0,no classes with default visibility
0,Sep codec should store less in terms dict
0,"Maven 2 POM includes junit in default ""compile"" scope, rather than ""test"" scope"
0,standard codec's terms dict seek should only scan if new term is in same index block
0,Allow use of compact DocIdSet in CachingWrapperFilter
0,outdated information in Analyzer javadoc
0,CharArraySet.clear()
0,Add UserManager#getAuthorizableByPath(String) for symmetry with JCR-3037
0,Upgrade to Xerces 2.8.1
0,David Spencer Spell Checker improved
0,Provide base classes to simplify read only RepositoryService implementations
0,wrong class name in statemgmt.xml
0,Data store garbage collection: ScanEventListener not working
0,More verbose message on reference constraint violation
0,wrong exception from NativeFSLockFactory (LIA2 test case)
0,the demo application does not work as of 3.0
0,CharFilter - normalize characters before tokenizer
0,Remove deprecated RangeQuery classes
0,HttpClient javadocs need improving
0,Improved reusability of the JCA package
0,UserManagement: Limit set of properties exposed by AuthorizableImpl
0,hashCode improvements
0,Jenkins trunk tests (nightly only) fail quite often with OOM in Automaton/FST tests
0,TestFieldsReader - TestLazyPerformance problems w/ permissions in temp dir in multiuser environment
0,Signature changes in AttributeSource for better Generics support of AddAttribute/getAttribute
0,"Change defaults in IndexWriter to maximize ""out of the box"" performance"
0,ShingleFilter improvements
0,Deprecate non-pooled bundle DB persistence managers
0,Clover setup currently has some problems
0,Remove superfluous comment in MMapDirectory.java
0,Support for OpenOffice text extraction
0,Port to Generics - test cases in contrib 
0,Create a sample search page
0,Add support for tablespaces to Oracle related classes
0,Add a variable-sized int block codec
0,Allow overriding the specification version in MANIFEST.MF
0,Make TopDocs constructor public
0,WebDAV: Allow for Extensions of MimeResolver in the Configuration.
0,Add IndexReader.flush(commitUserData)
0,TextFilters get called three times within checkin() method
0,Change default value for maxMergeDocs
0,Drop Maven 1 compatibility
0,JSP page compilation errors when depoyed using oc4j
0,Ant contrib test can fail if there is a space in path to lucene project
0,Deprecate IndexModifier
0,optimize contrib/regex for flex
0,Provide an convenience AttributeFactory that implements all default attributes with Token
0,A Linux-specific Directory impl that bypasses the buffer cache
0,Allow basic regexp in namespace prefix of index-rule
0,spi2davex: clear uri-lookup after removing node identified with uniqueID
0,Improve Javadoc
0,DerbyPersistenceManager only usable for embedded databases
0,Make PKIndexSplitter and MultiPassIndexSplitter work per segment
0,"JCR Test for Adding Node Type Tests That Abstract Nodes Can Be Added as Children, contrary to JCR 2.0 specification"
0,Extract JDBC Connection Init
0,Make MMapDirectory.MAX_BBUF user configureable to support chunking the index files in smaller parts
0,Automatic upgrade to 2.0
0,UUIDDocId should check IndexReader using equals()
0,Cleanup some unused and unnecessary code
0,warn on invalid set-cookie header
0,Retrieve row path via hierarchy manager instead of node
0,Add basic I/O counters to query handler
0,Make QValueFactoryImpl extensible
0,Convert Batch implementation in spi-rmi from remote object into a local one
0,Use a separate JFlex generated Unicode 4 by Java 5 compatible StandardTokenizer
0,Change value for SearchIndex#DEFAULT_EXTRACTOR_BACK_LOG
0,Change all contrib TokenStreams/Filters to use the new TokenStream API
0,HTTPClient 4.1 auto slash removal
0,GetReferencesNodeTest test assumptions
0,Little improvement for SimpleHTMLEncoder
0,Add log information when node/property type determination fails
0,Unit tests for HttpConn
0,EntryCollectorTest failure on certain Java versions
0,contrib/benchmark QueryMaker and Task Refactorings
0,Copy/Paste-Typo in toString() for SpanQueryFilter
0,Decide if we should remove lines numbers from latest Changes
0,move route computation from client to director
0,BaseTokenStreamTestCase should test analyzers on real-ish content
0,[PATCH] Avoid checking for TermBuffer in SegmentTermEnum#scanTo
0,Webdav: Review usage of command chains
0,org.apache.http.impl.client.cache.memcached.MemcachedHttpCacheStorage should allow client to specify custom prefix string for keys
0,Upload Lucene 2.0 artifacts in the Maven 1 repository
0,Some unit tests are not well configured
0,FastVectorHighlighter: enable FragListBuilder and FragmentsBuilder to be set per-field override
0,Remove @author tags in jackrabbit-jcr-rmi
0,[PATCH] new method: Document.remove()
0,better explain output
0,Clone proxStream lazily in SegmentTermPositions
0,Fixed README.txt on textfilters project
0,"Build with JDK 1.4, get many javadoc warnings"
0,Various places do map lookups in loop instead of using entrySet iterator
0,Lucene benchmark: objective performance test for Lucene
0,Various small improvements to contrib/benchmark
0,Further parallelizaton of ParallelMultiSearcher
0,Mark pending nodes in IndexingQueue directly in index
0,Remove RepositoryService exists()
0,revise Scorer visitor API
0,Utility class to tranform JCR-SQL2 to/from JCR-JQOM
0,JE Directory Implementation
0,Wrapup flexible indexing
0,TermScorer caches values unnecessarily
0,'ant generate-maven-artifacts' should work for lucene+solr 3.x+
0,Improve contrib/benchmark for testing near-real-time search performance
0,add db connection autoConnect for BundleDbPersistenceManager.
0,Improve Performance of DescendantSelfAxisQuery
0,Build failed in the flexscoring branch because of Javadoc warnings
0,Session leak in API test cases
0,make it easier to access default stopwords for language analyzers
0,integrate snowball stopword lists
0,IndexWriter does not properly account for the RAM consumed by pending deletes
0,release is not signed
0,Highlighter Documentation updates
0,connection wrapper prevents GC of TSCCM
0,Data Store: enable and fix tests
0,RFE: Make Credentials Serializable
0,Introduce similarity function
0,add TCK test for Info map of NODE_MOVED event on node reordering
0,"Performance improvement for merging stored, compressed fields"
0,Lucene Scorer implementations should handle the 'advance' to NO_MORE_DOCS optimisation better
0,Add JMX support to register a JCR RMI Server into Jboss
0,Connection timeout logic redesign
0,[PATCH] don't delete all files in index directory on index creation
0,OpenBitSet.prevSetBit()
0,Add timing information to event delivery
0,Collapse Common module into Lucene core util
0,use isBinary cached variable instead of instanceof in Field
0,TCK: SetPropertyCalendarTest compares Calendar objects
0,Basic tool for checking & repairing an index
0,Remove dependency to log4j
0,Use repository service wide namespace cache
0,Allow to pass an instance of RateLimiter to FSDirectory allowing to rate limit merge IO across several directories / instances
0,"GData Server - Milestone 3 Patch, Bugfixes, Documentation"
0,contrib/benchmark - few improvements and a bug fix
0,Reduce calls to RepositoryService.getRepositoryDescriptors()
0,core analyzers should not produce tokens > N (100?) characters in length
0,[PATCH] demo HTML parser corrupts foreign characters
0,repository.xml: throw an exception on error
0,Review and potentially remove unused/unsupported Contribs
0,AbstractRepositoryService should be able to handle GuestCredentials
0,toplevel exception cleanup
0,Use an enumeration for QOM join types
0,CompactNodeTypeReader fails to explain why valid JCR names cause errors
0,"src builds fail because of no ""lib"" directory"
0,JSR 283: Node Type Attribute Subtyping Rules 
0,"when a test Assume fails, display information"
0,IndexWriter commits unnecessarily on fresh Directory
0,Remove deprecated Filter.bits() and make Filter.getDocIdSet() abstract.
0,IndexingAggregateTest#testNtFileAggregate fails occasionally
0,"Add FieldCache.getTermBytes, to load term data as byte[]"
0,Calls to SegmentInfos.message should be wrapped w/ infoStream != null checks
0,FileDataStore should check for lastModified error result
0,"build.xml's tar task should use longfile=""gnu"""
0,Caching in QueryHandler does not scale well
0,Remove HitCollector
0,TCK: PredefinedNodeTypeTest does not allow additions to the predefined node types hierarchy
0,add Terms.docCount
0,Factor merge policy out of IndexWriter
0,JCAManagedConnectionFactory should chain cause exception
0,"Trunk fails tests, FSD.open() - related"
0,Child Axis support in order by clause
0,Move JCRWebdavServerServlet to jcr-server and make it abstract
0,Optimize PhraseQuery
0,RepositoryImpl.activeSessions should use Session instead of SessionImpl
0,"Failures during contrib builds, when classes in core were changed without ant clean"
0,common interface for HttpRoute and RouteTracker
0,new CachingNamespaceResolver introduces dependency from commons-jackrabbit to commons-collections
0,Split DocMaker into ContentSource and DocMaker
0,Improve handling for missing text filter dependency
0,QueryParser can produce empty sub BooleanQueries when Analyzer proudces no tokens for input
0,Evaluate if membershipcache (JCR-2703) obsoletes the cache in DefaultPrincipalProvider
0,Improvement to UndefinedTypeConverterImpl to map super types effectively
0,[PATCH] Clear ThreadLocal instances in close()
0,Introduce 'SecurityConfig' for better extensability.
0,Remove deprecated classes in jackrabbit-webdav and the corresponding impls in jcr-server
0,the spi2dav sandbox project should be put into a common release cycle
0,Jcr2spiRepositoryFactory: make class loading more robust
0,don't reuse byte[] in IndexInput/Output for read/writeString
0,support offsets in MemoryPostings
0,NodeTypeRegistry.registerNodetypes(Collection) should not register a partial set
0,HttpURLConnection wrapper
0,Remove remaining @author references
0,Class DisjunctionSumScorer does not need to be public.
0,Run 'test-tag' in nightly build
0,throw exception for fieldcache on a non-atomic reader
0,Replace BundleFsPersistenceManager with DerbyPersistenceManager in the JR Core indexing tests
0,Name and Path interfaces in SPI
0,SecureProtocolFactoryWrapper class for using the socket factory created by Java Web Start
0,Very inefficient implementation of MultiTermDocs.skipTo
0,Make IndexReader.open() always return MSR to simplify (re-)opens.
0,make spi query code compatible with JCR 2.0
0,CacheManager interval between recalculation of cache sizes should be configurable
0,Add InputStream buffering.
0,Remove support for pre-3.0 indexes
0,DbDataStore: improve error message when init fails
0,"In IndexSearcher class, make subReader and docCount arrays protected so sub classes can access them"
0,Disk full during addIndexes(Directory[]) can corrupt index
0,Demo: DeleteFiles doesn't delete files by their path names
0,Minor refactoring to IndexFileNameFilter
0,Provide support for unconnected sockets
0,Allow to configure DB persistence managers through JDNI
0,CharacterCache - references deleted 
0,Site search powered by Lucene/Solr
0,Sandbox remaining contrib queries
0,Implement a backup tool
0,clean up serialization in the codebase
0,DatabasePersistenceManager: don't log exceptions for each statement when a connection needs to be reestablished
0,ShingleFilter benchmark
0,Add search timeout support to Lucene
0,Provide access to port of Host header
0,spi2davex NodeInfoImpl should use HashSet instead of ArrayList for childInfos
0,Add a field-filtering FilterAtomicReader to 4.0 so ParallelReaders can be better tested (in LTC.maybeWrapReader)
0,Reduce memory usage of DocIds
0,"Deprecate ""create"" method in FSDirectory.getDirectory in favor of IndexWriter's ""create"""
0,Allow name to be set in PropertyInfoBuilder and NodeInfoBuilder
0,JCR taglib
0,Documentation improvements for 1.9 release
0,Allow SnapshotDeletionPolicy to be reused across writer close/open
0,replace Vector with ArrayList in Queries
0,New method to add an array of parameters to PostMethod
0,Some tests try to add new nodes without specifying the node type
0,Document Vector->ArrayList
0,Payloads
0,New Analysis  Contributions
0,The DisjunctionMaxQuery lacks an implementation of extractTerms().
0,Create OSGi Bundles from jackrabbit-webdav and jackrabbit-jcr-server libraries
0,Switch from log4j to Logback
0,[PATCH] queryParser.setOperator(int) should be made typesafe
0,Support for NTLM authentication
0,Provide a non-pooling connection manager
0,don't silently merge session-local transient changes with external changes before save().
0,Add SimpleText codec
0,ConsistencyCheck uses too much memory
0,Multiple tests test for locking instead of versioning
0,Return bind variable names on RepositoryService.checkQueryStatement()
0,NodeImpl.checkout() calls save() two times
0,RAMDirectory implements Serializable
0,Modified QueryImpl to enable external query builders to read and write JCR expressions in the orderBy Clause
0,Swap URL+Email recognizing StandardTokenizer and UAX29Tokenizer
0,Optimize usage of norms
0,DocId.UUIDDocId should not have a string attr uuid
0,GData html render preview
0,equals and hashCode implementation in org.apache.lucene.search.* package
0,remove IndexSearcher.docFreq/maxDoc
0,non mantatory revision property in the Journal configuration
0,Tika-based type detection in jcr-server
0,Handle Null Arguments consistantly
0,Deprecated AbstractWebdavServlet should be empty and extend new AbstractWebdavServlet
0,JSR 283 Query
0,"When authentication is invalidated during redirection, proxy authentication also should be invalidated"
0,Make tests using java.util.Random reproducible on failure
0,Buffered I/O in IndexInfos
0,Split the wire log into header and content parts.
0,Refactor ObservationManagerFactory
0,factor out a shared spellchecking module
0,remove RoutedRequest from API
0,Lucene-core 2.9.0 missing from Maven Central Repository
0,Remove duplicate code in InternalValueFactory
0,HttpState#PREEMPTIVE_PROPERTY removed.
0,Update copyright year to 2009
0,port url+email tokenizer to standardtokenizerinterface (or similar)
0,Add a NamespaceHelper in jcr-commons
0,Avoid creation of more than one jackrabbit instance with the same configuration
0,Improve automaton's MinimizeOperations.minimizeHopcroft() to not create so many objects
0,Add static readSnapshotsInfo to PersistentSnapshotDeletionPolicy
0,Some Workspace tests require a second workspace
0,Some small javadocs/extra import fixes
0,Deprecate all String/File ctors/opens in IndexReader/IndexWriter/IndexSearcher
0,Jackrabbit utilities
0,Add support for benchmarking Collectors
0,multipart feedback
0,Add new top-level projects to the building documentation
0,JCR2SPI: improve ItemDefinitionProviderImpl.getMatchingPropdef to better handle multiple residuals
0,switch appendingcodec to use appending blocktree
0,Remove query handler idleTime
0,add a tokenfilter for icu transforms
0,ms-sql tablespace support for FileSystem and PersistenceManager
0,FieldCache rewrite method for MultiTermQueries
0,Further steps towards flexible indexing
0,add concurrent merge policy
0,Make DirectoryTaxonomyWriter's indexWriter member private
0,FIXME in src/test/org/apache/lucene/IndexTest.java
0,Re-add SorterTemplate and use it to provide fast ArraySorting and replace BytesRefHash sorting
0,Remove dependency on Xerces
0,[PATCH] jackrabbit-webapp pom.xml patch to create an additional jar artifact
0,Change contrib tests to use the special LuceneTestCase(J4) constant for the current version used a matchVersion parameter
0,Promote solr's PrefixFilter into Java Lucene's core
0,Catch exceptions in Threads created by JUnit tasks
0,Some concurrency improvements for NRT
0,New PostSOAP example (for src/examples)
0,"Inconsistent, order dependant behaviour in HttpMethodBase.getResponse*"
0,[PATCH] small fixes to the new scoring.html doc
0,Per thread DocumentsWriters that write their own private segments
0,Publish the jackrabbit-ocm DTD
0,Review the use of BaiscHttpParams and HttpProtocolProcessor in HttpClient
0, Reduce number of compiler warning by adding @Override and generics where appropriate 
0,indexing-rules should allow wildcards for (global) property names
0,populate.jsp uses Java 1.5 method
0,Add deleteByQuery to IndexWriter
0,LogMergePolicy.findMergesToExpungeDeletes need to get deletes from the SegmentReader
0,"Add ""testpackage"" to common-build.xml"
0,Support system property to define the DefaultTransactionTimeout for a XASession
0,https should check CN of x509 cert
0,Can't use proxy server with https
0,Make ItemInfoBuilder name space aware
0,improve automaton performance by running on byte[]
0,HttpClient OSGi Export-Package doesn't specify version
0,Extend Codec to handle also stored fields and term vectors
0,"if a filter can support random access API, we should use it"
0,Real In-memory Repository
0,should allow receiving secure cookies from non-secure chanel
0,org.apache.jackrabbit.server.io.IOUtil getTempFile misses dot in tmp suffix
0,Evil up MockDirectoryWrapper.checkIndexOnClose
0,Jcr2Spi: UpdateTest#testUpdateRemovesExtraProperty and #testUpdateAddsMissingSubtree fail occasionally
0,Cutover remaining usage of pre-flex APIs
0,Implement Query.getBindVariableNames()
0,[PATCH] Add StopFilter ignoreCase option
0,Decouple indexer from Document/Field impls
0,Add bundle support for PostgreSQL
0,Wrap SegmentInfos in public class 
0,LineDocSource should assign stable IDs; docdate field should be NumericField
0,Remove excessive dependencies from jcr-client module
0,random analyzer tests
0,A number of documentation fixes for the search package summary
0,Avoid item state reads during Session.logout()
0,Upgrade to Lucene 2.0
0,Add CharArrayMap to lucene and make CharAraySet an proxy on the keySet() of it
0,Make DocumentsWriter more robust on hitting OOM
0,move contrib/snowball to contrib/analyzers
0,Exclude JavaCC-generated code from static analysis
0,Can't specify AttributeSource for Tokenizer
0,Easier way to run benchmark
0,[PATCH] fix compile errors in sandbox
0,Snowball package contains BSD licensed code with ASL header
0,Keep WebDAV exception causes
0,Provide support for non-ASCII charsets in the multipart disposition-content header
0,Customizable Cookie Policy
0,DateTools.stringToDate() can cause lock contention under load
0,"Work around ThreadLocal's ""leak"""
0,Handling sub-domain cookies.
0,Use NIO positional read to avoid synchronization in FSIndexInput
0,New method on NodeTypeManagerImpl to reregister nodetypes
0,"Make JCAManagedConnectionFactory non final, so it can be extended"
0,TestThreadSafety.testLazyLoadThreadSafety test failure
0,Remove Author tags from code
0,Rewrite TrieRange to use MultiTermQuery
0,Avoid Maven 3 warnings
0,Use an enumeration for QOM operators
0,"when tests fail, sometimes the testmethod in 'reproduce with' is null"
0,Path should implement Serializable
0,ChineseFilter is inefficient
0,"Reduce Fieldable, AbstractField and Field complexity"
0,wordlistloader is inefficient
0,AccessControlImporter does not import repo level ac content
0,Deprecating StopAnalyzer ENGLISH_STOP_WORDS - General replacement with an immutable Set
0,Unnecessary parameter in NodeTypeRegistry.persistCustomNodeTypeDefs(NodeTypeDefStore store)
0,wire logger skips empty line
0,remove support for event bundle IDs
0,[PATCH] LockFactory implementation based on OS native locks (java.nio.*)
0,Prepare CharArraySet for Unicode 4.0
0,Contrib CharTokenizer classes should be instantiated using their new Version based ctors
0,Make prefixLength accessible to PrefixTermEnum subclasses
0,Provide factory method to create DefaultHttpClient instances pre-configured based on JSSE and networking system properties
0,Add support to provide custom classloader for class instantiation from configuration
0,AbstractQueryTest.evaluateResultOrder() should fail if workspace does not contain enough content
0,TCK: NodeMixinUtil should exclude for mix:shareable
0,Text extraction may congest thread pool in the repository
0,Lucene Java Site docs
0,Missing log4j.properties file
0,lock token validity
0,Use only one scheduler for repository tasks
0,TCK: NodeReadMethodsTest#testGetPrimaryItemItemNotFoundException selects wrong test data
0,Logging into a repository with a big version history takes a long time
0,authentication order has changed from 1.4.x to 1.5.x
0,Observation tests should throw NotExecutableException when repository does not support observation
0,Massive Code Duplication in Contrib Analyzers - unifly the analyzer ctors
0,Set source and output encoding in POMs
0,Core Tests should call Version based ctors instead of deprecated default ctors
0,Populating exception message with InetSocketAddress.getHostName() can take a long time
0,PhraseQuery/TermQuery/SpanQuery use IndexReader specific stats in their explains
0,Each TransactionContext creates new thread
0,Merge CharTermAttribute and deprecations to stable
0,Interface TermFreqVector has incomplete Javadocs
0,Add N-Gram String Matching for Spell Checking
0,Jackrabbit concurrency review and invariants
0,update NOTICE.txt
0,Do MultiTermQuery boolean rewrites per segment
0,Backport FSTs to 3.x
0,norms file can become unexpectedly enormous
0,variables should be accessed through getters
0,"Add ""tokenize documents only"" task to contrib/benchmark"
0,SegmentInfos shouldn't blindly increment version on commit
0,Change Log-Level in DefaultIOListener
0,provide option to automatically dispose idle workspaces
0,ResourceConfig: read additional parameters for IOHandler and PropertyHandler that are covered by public setters
0,New JcrUtils utility methods
0,[PATCH] Use entrySet iterators to avoid map look ups in loops
0,Typo in message logged upon startup when repository is already in use
0,"Spellchecker ""Suggest Mode"" Support"
0,Problem with formerly escaped JCR node names when upgrading to Jackrabbit 2.2.9
0,Extend the IndexingConfiguration to allow configuration of reuseable analyzers
0,Wire log is incomplete if HttpParser detects an error
0,Java 1.4 compile error in Eclipse
0,Typo in NodeTypeRegistry
0,Unnecessary null check in EffectiveNodeType.getApplicableChildNodeDef()
0,isValid should be invoked after analyze rather than before it so it can validate the output of analyze
0,SPI: Introduce NodeInfo.getChildInfos()
0,If IndexWriter hits OutOfMemoryError it should not commit
0,Remove jcr-commons dependency from jackrabbit-webdav
0,Use executor service from repository for index merging
0,Occasional JCA test failures
0,ConjunctionScorer tune-up
0,analysis consumers should use reusable tokenstreams
0,Allow o.a.j.jca.JCARepositoryManager to load repository configuration from the classpath.
0,Root exception not logged in ClusterNode for ClusterException
0,Cookie Strict Mode independent of regular Strict Mode
0,"Remove code duplication in MultiReader/DirectoryReader, make everything inside final"
0,Ensure the features.html and index.html adequately give httpclient enough credit
0,Move SmartChineseAnalyzer & resources to own contrib project
0,Log / trace wrapper for the JCR API
0,Implement search facility for users and groups
0,Genericize DirectIOLinuxDir -> UnixDir
0,[patch] remove bogus test
0,Set default precisionStep for NumericField and NumericRangeFilter
0,HostnameVerifier shouldn't shadow simple name of implemented interface
0,Contribution: Efficient Sorting of DateField/DateTools Encoded Timestamp Long Values
0,JSR 283: Access Control
0,remove Query.getSimilarity()
0,TCK: SetPropertyAssumeTypeTest doesn't allow ValueFormatException upon type conversion failure
0,"Via NTLM proxy to SSL Apache/BasicAuth. - worked in may 22nd, but broken in beta1"
0,Add VERBOSE to LuceneTestCase and LuceneTestCaseJ4
0,Correct copy-paste victim Comment
0,Land DWPT on trunk
0,Allow indexingConfiguration to be loaded from the classpath
0,Fully decouple IndexWriter from analyzers
0,CND support in jackrabbit-jcr-commons
0,fix LowerCaseFilter for unicode 4.0
0,HyphenationCompoundWordTokenFilter fails to load DTD in Crimson parser (JDK 1.4)
0,SimpleFieldsHelper emits a lot warnings
0,check all tests that use FSDirectory.open
0,Configure occurrence of property value in excerpt
0,Intermittent failure in TestThreadedOptimize
0,New Gump projects for HttpComponents 4.0
0,move contrib/analyzers to modules/analysis
0,FieldCache should support longs and doubles
0,DelimitedPayloadTokenFilter copies the bufer over itsself. Instead it should only set the length. Also optimize logic.
0,Several final classes have non-overriding protected members
0,"Replace Maven POM templates with full POMs, and change documentation accordingly"
0,JSR 283 Node Identifier
0,Documentation for tii and tis files seems to be out of sync with code
0,"add Token.setTermText(), remove final"
0,FieldCacheImpl cache gets rebuilt every time
0,download section of website down
0,Replacing mixin type doesn't preserve properties
0,Index File Format - Example for frequency file .frq is wrong
0,Improved javadocs for PriorityQueue#lessThan
0,contrib/benchmark tests fail find data dirs
0,SimpleAnalyzer and WhitespaceAnalyzer should have Version ctors
0,DatabaseJournal refactoring for subclassing capability
0,Allow readOnly OpenReader task
0,Restore mix:referenceable check to SessionImpl.getNodeByUUID
0,reusing connections is unreliable
0,jcr:like on node name
0,workspace-wide default for lock timeout
0,LowerCaseFilter for Turkish language
0,sort missing string fields last
0,small improvements to DWPTThreadPool
0,Allow access to registered cookie policies
0,TestIndexwriterWithThreads#testCloseWithThreads hangs if a thread hit an exception before indexing its first document
0,CloseableThreadLocal is now obsolete
0,Allow to override LockManager creation
0,"Add NumericField, make plain text numeric parsers public in FieldCache, move trie parsers to FieldCache"
0,Add utitily class to manage NRT reopening
0,Only load item definition when required
0,potential memory leak when using ThreadSafeClientConnManager
0,"Remove ""System Properties"" page from release specific docs"
0,[PATCH] Contribution: A QueryParser which passes wildcard and prefix queries to analyzer
0,Make HighFreqTerms.TermStats class public
0,addIndexes(Directory...) should not trigger merge on flush()
0,Default lock timeouts should have static setter/getters
0,ConjunctionScorer - more tuneup
0,Separate SegmentReaders (and other atomic readers) from composite IndexReaders
0,TCK: NamespaceRegistryTest#testUnregisterNamespaceExceptions doesn't fail if expected exception isn't thrown
0,Define and implement Logging policy
0,some jcr-client tests fail if a server runs on localhost:80 
0,Replace license headers with new policy text
0, The jackrabbit-ocm DTD 1.5 is missing and has to be publish
0,Add option to make sorting in user/group query case insensitive
0,Basic refactoring of DocumentsWriter
0,Consolidate type safe wrappers for commons-collection classes
0,New flexible query parser
0,Refrase javadoc 1st sentence for IndexReader.deleteDocuments
0,Include the README file in the generated jar files
0,NodeBasedGroup#isMember(Principal) should have shortcut for the everyone group.
0,"add IndexWriter.removeUnferencedFiles, so apps can more immediately delete index files when readers are closed"
0,Change log level in UserManagerImpl#getAuthorizable(NodeImpl) and UserImporter#handlePropInfo
0,remove _X.fnx
0,Rename Field.Index.UN_TOKENIZED/TOKENIZED/NO_NORMS
0,create a simple test that indexes and searches byte[] terms
0,Generalize SearcherManager
0,Cut Norms over to DocValues
0,Port 80 is needed to run tests
0,Eliminate unnecessary uses of Hashtable and Vector
0,DateField class should be public
0,Omit positions but keep termFreq
0,Upgrade to Tika 0.6 and PDFBox 1.0.0
0,"[PATCH] Better ""lock obtain timed out"" error message"
0,InternalVersion.getFrozenNode confused about root version?
0,Response handlers
0,"consistency check should get node ids in chunks, not rely on total count"
0,Add CopyMoveHanlder so that the copy/move behavior can be customized (as this is the case for the IOHandler and PropertyHandler)
0,Add UserManager.createGroup(String groupID) method
0,Generify PriorityQueue
0,Rename package names
0,upgrade icu to 4.8
0,Some files are missing the license headers
0,date encoding limitation removing
0,Grouping module should allow subclasses to set the group key per document
0,SPI: change param order with RepositoryService.createBatch
0,Use FileLock for locking instead of empty file
0,JSR 283 NodeType Management
